日期,白天天气,夜间天气,最高气温(℃),最低气温(℃),白天风力风向,夜间风力风向
2025年01月01日,晴 ,  晴,4,-3,东北风 3-4级,东北风 3-4级
2025年01月02日,晴 ,  晴,0,-3,北风 4-5级,西北风 4-5级
2025年01月03日,晴 ,  晴,2,-3,西北风 3-4级,西南风 3-4级
2025年01月04日,晴 ,  多云,6,0,西南风 4-5级,西南风 4-5级
2025年01月05日,多云 ,  晴,5,-5,西北风 4-5级,北风 4-5级
2025年01月06日,晴 ,  晴,-1,-5,西北风 4-5级,西北风 4-5级
2025年01月07日,多云 ,  多云,0,-7,西北风 4-5级,北风 4-5级
2025年01月08日,多云 ,  多云,-5,-10,北风 4-5级,北风 4-5级
2025年01月09日,多云 ,  晴,-5,-11,北风 4-5级,北风 4-5级
2025年01月10日,晴 ,  晴,-4,-7,北风 4-5级,北风 3-4级
2025年01月11日,多云 ,  多云,1,-6,北风 3-4级,北风 3-4级
2025年01月12日,晴 ,  多云,1,-5,西风 3-4级,西风 3-4级
2025年01月13日,晴 ,  晴,4,-4,西南风 3-4级,北风 3-4级
2025年01月14日,多云 ,  晴,0,-6,北风 4-5级,北风 4-5级
2025年01月15日,晴 ,  晴,2,-6,北风 4-5级,西风 4-5级
2025年01月16日,晴 ,  晴,4,-2,北风 4-5级,北风 3-4级
2025年01月17日,晴 ,  晴,7,1,西南风 4-5级,西南风 3-4级
2025年01月18日,晴 ,  晴,7,-1,西南风 4-5级,北风 3-4级
2025年01月19日,晴 ,  晴,5,-1,北风 3-4级,北风 3-4级
2025年01月20日,晴 ,  晴,7,0,西北风 3-4级,西南风 3-4级
,,,,,,
2025年01月21日,晴 ,  晴,5,-2,北风 3-4级,北风 3-4级
2025年01月22日,晴 ,  晴,4,-2,北风 1-3级,东北风 3-4级
2025年01月23日,晴 ,  晴,5,0,东南风 3-4级,东南风 3-4级
2025年01月24日,晴 ,  晴,6,-2,北风 3-4级,北风 3-4级
2025年01月25日,晴 ,  多云,4,-1,北风 3-4级,北风 3-4级
2025年01月26日,小雪 ,  中到大雪,3,-5,南风 3-4级,北风 5-6级
2025年01月27日,小雪 ,  阴,-5,-7,西北风 5-6级,西北风 4-5级
2025年01月28日,多云 ,  晴,-6,-9,西北风 4-5级,西北风 4-5级
2025年01月29日,晴 ,  晴,-5,-9,西北风 3-4级,东北风 3-4级
2025年01月30日,小雪 ,  小雪,-4,-8,东北风 3-4级,东北风 3-4级
2025年01月31日,阴 ,  晴,-2,-9,东北风 3-4级,东北风 3-4级
2025年02月01日,晴 ,  多云,-2,-8,北风 3-4级,北风 3-4级
2025年02月02日,雨夹雪 ,  多云,0,-8,北风 4-5级,北风 4-5级
2025年02月03日,多云 ,  多云,-6,-10,北风 4-5级,北风 3-4级
2025年02月04日,多云 ,  多云,-6,-11,北风 4-5级,北风 4-5级
2025年02月05日,多云 ,  多云,-1,-9,西北风 4-5级,西风 4-5级
2025年02月06日,小雪 ,  小雪,0,-11,西北风 4-5级,西北风 5-6级
2025年02月07日,阵雪 ,  多云,-6,-11,西北风 5-6级,西北风 4-5级
2025年02月08日,晴 ,  晴,-5,-8,西北风 4-5级,西北风 3-4级
2025年02月09日,晴 ,  晴,0,-7,西北风 3-4级,西北风 3-4级
2025年02月10日,晴 ,  晴,5,-2,西南风 4-5级,西南风 4-5级
2025年02月11日,多云 ,  雨夹雪,7,-2,南风 4-5级,北风 4-5级
2025年02月12日,多云 ,  晴,1,-3,北风 4-5级,西南风 3-4级
2025年02月13日,晴 ,  晴,7,2,西南风 4-5级,西风 3-4级
2025年02月14日,晴 ,  多云,9,3,西南风 3-4级,西南风 3-4级
2025年02月15日,晴 ,  晴,10,-2,西南风 3-4级,北风 4-5级
2025年02月16日,晴 ,  晴,3,-3,北风 4-5级,北风 4-5级
2025年02月17日,晴 ,  晴,1,-4,北风 4-5级,西北风 3-4级
2025年02月18日,晴 ,  晴,1,-4,西北风 3-4级,西北风 3-4级
2025年02月19日,晴 ,  晴,0,-5,西北风 4-5级,西北风 3-4级
2025年02月20日,晴 ,  晴,0,-5,西北风 4-5级,西北风 3-4级
,,,,,,
2025年02月21日,晴 ,  晴,-1,-6,西北风 3-4级,西北风 3-4级
2025年02月22日,晴 ,  多云,-1,-6,西北风 4-5级,西北风 4-5级
2025年02月23日,晴 ,  晴,0,-5,西北风 4-5级,西风 3-4级
2025年02月24日,晴 ,  晴,7,0,西南风 4-5级,西南风 4-5级
2025年02月25日,多云 ,  晴,7,0,西南风 4-5级,北风 3-4级
2025年02月26日,晴 ,  晴,10,2,西南风 4-5级,西南风 3-4级
2025年02月27日,多云 ,  晴,12,5,南风 4-5级,南风 4-5级
2025年02月28日,晴 ,  多云,13,5,南风 3-4级,东南风 3-4级
2025年03月01日,阴 ,  阴,8,0,东南风 4-5级,北风 4-5级
2025年03月02日,多云 ,  多云,5,0,东北风 5-6级,东北风 4-5级
2025年03月03日,多云 ,  多云,4,0,东北风 4-5级,东北风 3-4级
2025年03月04日,多云 ,  多云,3,0,东风 3-4级,北风 3-4级
2025年03月05日,晴 ,  晴,7,0,北风 3-4级,北风 3-4级
2025年03月06日,晴 ,  多云,5,0,西北风 4-5级,西北风 3-4级
2025年03月07日,多云 ,  小雨,7,3,南风 3-4级,南风 3-4级
2025年03月08日,阴 ,  晴,9,2,南风 3-4级,南风 3-4级
2025年03月09日,晴 ,  晴,10,2,南风 3-4级,南风 4-5级
2025年03月10日,晴 ,  多云,11,5,南风 4-5级,东南风 3-4级
2025年03月11日,多云 ,  多云,12,6,南风 4-5级,西北风 4-5级
2025年03月12日,晴 ,  晴,15,5,西北风 4-5级,西北风 3-4级
2025年03月13日,晴 ,  晴,11,5,东风 3-4级,东北风 3-4级
2025年03月14日,晴 ,  晴,11,4,东北风 3-4级,东北风 3-4级
2025年03月15日,多云 ,  多云,10,1,北风 4-5级,北风 4-5级
2025年03月16日,晴 ,  多云,4,0,西北风 4-5级,西南风 3-4级
2025年03月17日,雨夹雪 ,  阴,5,-1,北风 4-5级,北风 4-5级
2025年03月18日,晴 ,  晴,6,1,北风 4-5级,西南风 3-4级
2025年03月19日,晴 ,  晴,12,4,西南风 3-4级,西南风 3-4级
2025年03月20日,晴 ,  晴,16,8,西风 4-5级,西风 3-4级
,,,,,,
2025年03月21日,晴 ,  晴,21,15,西风 4-5级,西风 4-5级
2025年03月22日,晴 ,  晴,24,13,西风 4-5级,西南风 3-4级
2025年03月23日,多云 ,  多云,23,9,西南风 4-5级,北风 4-5级
2025年03月24日,多云 ,  多云,15,8,北风 4-5级,南风 3-4级
2025年03月25日,晴 ,  多云,17,5,北风 5-6级,东北风 4-5级
2025年03月26日,多云 ,  多云,12,4,东南风 4-5级,西北风 4-5级
2025年03月27日,多云 ,  晴,8,2,西北风 4-5级,北风 4-5级
2025年03月28日,多云 ,  多云,8,0,北风 3-4级,北风 4-5级
2025年03月29日,晴 ,  晴,7,2,西风 3-4级,南风 3-4级
2025年03月30日,晴 ,  晴,8,3,南风 3-4级,西南风 3-4级
2025年03月31日,晴 ,  晴,15,8,西南风 4-5级,西南风 4-5级
2025年04月01日,多云 ,  阴,15,7,西南风 4-5级,西北风 3-4级
2025年04月02日,多云 ,  晴,12,4,西北风 4-5级,西南风 3-4级
2025年04月03日,晴 ,  多云,14,8,南风 4-5级,南风 4-5级
2025年04月04日,小雨 ,  多云,14,7,南风 4-5级,西北风 4-5级
2025年04月05日,晴 ,  晴,15,7,西北风 4-5级,西北风 3-4级
2025年04月06日,晴 ,  晴,18,8,东南风 3-4级,东南风 3-4级
2025年04月07日,晴 ,  晴,18,7,北风 3-4级,北风 3-4级
2025年04月08日,晴 ,  阴,18,7,西北风 4-5级,南风 3-4级
2025年04月09日,阵雨 ,  晴,12,6,南风 3-4级,东南风 3-4级
2025年04月10日,晴 ,  晴,17,10,南风 3-4级,南风 3-4级
2025年04月11日,多云 ,  小到中雨,16,9,南风 4-5级,南风 4-5级
2025年04月12日,阴 ,  多云,13,5,西南风 4-5级,西北风 5-6级
2025年04月13日,多云 ,  小雨,9,5,西北风 4-5级,西北风 5-6级
2025年04月14日,多云 ,  晴,12,6,西北风 3-4级,西北风 3-4级
2025年04月15日,晴 ,  晴,17,9,西南风 3-4级,东南风 3-4级
2025年04月16日,多云 ,  多云,14,8,东风 4-5级,东风 3-4级
2025年04月17日,多云 ,  多云,16,10,东北风 4-5级,北风 4-5级
2025年04月18日,阴 ,  小到中雨,16,8,北风 1-3级,北风 3-4级
2025年04月19日,晴 ,  晴,16,8,西风 3-4级,东南风 3-4级
2025年04月20日,晴 ,  晴,17,9,南风 3-4级,东南风 3-4级
,,,,,,
2025年04月21日,多云 ,  小雨,16,11,南风 4-5级,北风 4-5级
2025年04月22日,晴 ,  晴,19,10,北风 4-5级,西北风 3-4级
2025年04月23日,晴 ,  晴,20,11,西南风 4-5级,北风 4-5级
2025年04月24日,晴 ,  晴,17,9,西风 4-5级,西风 3-4级
2025年04月25日,晴 ,  晴,19,11,西南风 3-4级,南风 3-4级
2025年04月26日,多云 ,  雷阵雨,22,11,西南风 4-5级,北风 4-5级
2025年04月27日,阵雨 ,  晴,16,8,北风 4-5级,西北风 3-4级
2025年04月28日,晴 ,  晴,19,10,北风 4-5级,南风 3-4级
2025年04月29日,晴 ,  多云,22,14,南风 4-5级,南风 3-4级
2025年04月30日,阴 ,  雷阵雨,22,11,南风 3-4级,西北风 4-5级
2025年05月01日,晴 ,  多云,18,10,西北风 4-5级,西风 3-4级
2025年05月02日,阵雨 ,  多云,16,10,西南风 3-4级,西北风 3-4级
2025年05月03日,晴 ,  晴,18,11,西北风 4-5级,西风 3-4级
2025年05月04日,晴 ,  多云,20,12,西风 4-5级,南风 3-4级
2025年05月05日,多云 ,  雷阵雨,17,10,东南风 4-5级,北风 3-4级
2025年05月06日,多云 ,  晴,17,10,北风 3-4级,西南风 3-4级
2025年05月07日,晴 ,  多云,17,11,南风 3-4级,南风 3-4级
2025年05月08日,多云 ,  多云,17,12,南风 4-5级,东南风 3-4级
2025年05月09日,小雨 ,  中雨,15,11,东北风 3-4级,西北风 4-5级
2025年05月10日,多云 ,  晴,19,12,西北风 4-5级,西风 4-5级
2025年05月11日,晴 ,  晴,22,14,南风 4-5级,南风 4-5级
2025年05月12日,晴 ,  晴,21,16,东南风 4-5级,东南风 4-5级
2025年05月13日,晴 ,  晴,24,15,南风 4-5级,南风 3-4级
2025年05月14日,阴 ,  多云,22,12,北风 4-5级,北风 3-4级
2025年05月15日,晴 ,  晴,22,12,西南风 3-4级,南风 3-4级
2025年05月16日,多云 ,  雷阵雨,16,11,东南风 4-5级,南风 4-5级
2025年05月17日,多云 ,  晴,19,12,西北风 4-5级,西南风 3-4级
2025年05月18日,多云 ,  阵雨,21,14,南风 4-5级,南风 4-5级
2025年05月19日,多云 ,  晴,23,14,南风 3-4级,东风 3-4级
2025年05月20日,多云 ,  多云,20,14,东风 4-5级,东北风 3-4级
,,,,,,
2025年05月21日,晴 ,  晴,23,16,东北风 4-5级,东北风 4-5级
2025年05月22日,多云 ,  小雨,25,15,北风 4-5级,北风 4-5级
2025年05月23日,多云 ,  晴,21,13,东北风 3-4级,东北风 3-4级
2025年05月24日,晴 ,  晴,23,16,西南风 3-4级,西南风 3-4级
2025年05月25日,晴 ,  晴,24,15,北风 3-4级,南风 1-3级
2025年05月26日,晴 ,  多云,23,16,南风 3-4级,东南风 3-4级
2025年05月27日,阵雨 ,  阵雨,20,14,东南风 4-5级,东南风 4-5级
2025年05月28日,多云 ,  多云,23,15,东南风 4-5级,东南风 3-4级
2025年05月29日,晴 ,  晴,23,16,东南风 3-4级,东南风 3-4级
2025年05月30日,晴 ,  多云,24,17,东南风 3-4级,东南风 3-4级
2025年05月31日,多云 ,  阴,23,16,东南风 3-4级,东南风 3-4级
2025年06月01日,晴 ,  多云,24,17,南风 3-4级,南风 3-4级
2025年06月02日,多云 ,  多云,24,18,南风 4-5级,西北风 3-4级
2025年06月03日,晴 ,  晴,26,18,西风 4-5级,西北风 4-5级
2025年06月04日,晴 ,  晴,27,18,西北风 4-5级,西南风 4-5级
2025年06月05日,晴 ,  多云,28,20,西南风 4-5级,东北风 4-5级
2025年06月06日,多云 ,  多云,28,18,东风 3-4级,东北风 4-5级
2025年06月07日,晴 ,  晴,26,16,东北风 4-5级,南风 3-4级
2025年06月08日,晴 ,  多云,26,16,南风 3-4级,南风 3-4级
2025年06月09日,中雨 ,  阴,22,16,南风 4-5级,北风 3-4级
2025年06月10日,晴 ,  晴,26,18,西北风 4-5级,西南风 3-4级
2025年06月11日,晴 ,  晴,29,20,西南风 4-5级,西南风 3-4级
2025年06月12日,晴 ,  晴,28,18,南风 4-5级,南风 4-5级
2025年06月13日,多云 ,  多云,25,19,东南风 4-5级,东风 3-4级
2025年06月14日,阵雨 ,  中雨,24,18,东风 3-4级,东南风 4-5级
2025年06月15日,小到中雨 ,  多云,25,19,南风 4-5级,南风 3-4级
2025年06月16日,阵雨 ,  晴,25,17,南风 4-5级,西风 3-4级
2025年06月17日,晴 ,  多云,28,20,西南风 3-4级,东南风 3-4级
2025年06月18日,多云 ,  雷阵雨,28,22,东南风 4-5级,南风 4-5级
2025年06月19日,多云 ,  中雨,25,20,东南风 4-5级,东风 3-4级
2025年06月20日,多云 ,  晴,27,20,北风 4-5级,西北风 3-4级
,,,,,,
2025年06月21日,晴 ,  晴,28,21,西风 3-4级,西风 3-4级
2025年06月22日,晴 ,  晴,31,21,西风 3-4级,南风 1-3级
2025年06月23日,晴 ,  晴,30,21,南风 3-4级,东南风 3-4级
2025年06月24日,晴 ,  晴,28,22,东南风 3-4级,北风 1-3级
2025年06月25日,晴 ,  多云,29,22,南风 3-4级,南风 3-4级
2025年06月26日,多云 ,  阵雨,29,22,南风 3-4级,南风 3-4级
2025年06月27日,阵雨 ,  阵雨,25,20,东南风 3-4级,东风 3-4级
2025年06月28日,阴 ,  阴,25,22,西南风 3-4级,南风 3-4级
2025年06月29日,小雨 ,  中雨,26,22,东南风 3-4级,南风 4-5级
2025年06月30日,小到中雨 ,  多云,25,22,南风 4-5级,南风 4-5级
